Cre ID,Gene number
Cre01.g054750,1172
Cre01.g054800,1173
Cre01.g054850,1174
Cre01.g054900,1175
Cre01.g054950,1176
Cre01.g055000,1177
Cre01.g055050,1178
Cre01.g055100,1179
Cre01.g055151,1180
Cre01.g055200,1181
Cre01.g055250,1182
Cre01.g055300,1183
Cre01.g055316,1184
Cre01.g055350,1185
Cre01.g055400,1186
Cre01.g055404,1187
Cre01.g055408,1188
Cre01.g055412,1189
Cre01.g055416,1190
Cre01.g055420,1191
Cre01.g055424,1192
Cre01.g055428,1193
Cre01.g055432,1194
Cre01.g055436,1195
Cre01.g055440,1196
Cre01.g055444,1197
Cre01.g055448,1198
Cre01.g055453,1199
Cre01.g055457,1200
Cre01.g055461,1201
Cre01.g055465,1202
Cre01.g055469,1203
Cre01.g055473,1204
Cre01.g055477,1205
Cre01.g055500,1206
Cre01.g055550,1207
Cre01.g055600,1208
Cre01.g055966,1209
Cre01.g056331,1210
Cre01.g056696,1211
Cre01.g057061,1212
Cre01.g057426,1213
Cre01.g057791,1214
Cre01.g058156,1215
Cre01.g058521,1216
Cre01.g058886,1217
Cre01.g059252,1218
Cre01.g059617,1219
Cre01.g059982,1220
Cre01.g060347,1221
Cre01.g060712,1222
Cre01.g061077,1223
Cre01.g061442,1224
Cre01.g061807,1225
Cre01.g062172,1226
Cre01.g062537,1227
Cre01.g062902,1228
Cre01.g063267,1229
Cre01.g063632,1230
Cre01.g063997,1231
Cre01.g064362,1232
Cre01.g064727,1233
Cre01.g065092,1234
Cre01.g065457,1235
Cre01.g065822,1236
Cre01.g066187,1237
Cre01.g066552,1238
Cre01.g066917,1239
Cre01.g067282,1240
Cre01.g067647,1241
Cre01.g068012,1242
Cre01.g068377,1243
Cre01.g068742,1244
